2026-07-01 12:10:51,710 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'uts': 210.0} | delta=0.1
2026-07-01 12:10:51,710 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 12:10:51,713 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:10:51,714 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:10:52,062 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:10:52,386 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:10:52,386 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 12:10:52,389 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 12:10:52,390 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 12:11:19,083 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 12:12:40,863 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 12:12:40,864 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 12:12:40,904 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'uts': 210.0} | delta=0.1
2026-07-01 12:12:40,904 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 12:13:02,935 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:13:02,937 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:13:03,681 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:13:04,417 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:13:04,418 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 12:13:04,424 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 12:13:04,425 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 12:13:30,833 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 12:22:35,333 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 12:22:35,334 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 12:22:35,348 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.1
2026-07-01 12:22:35,349 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 12:22:35,351 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 12:22:35,353 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 12:22:35,622 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
